snapshot_index,age_myr,phase,stored_index_outer_to_inner,radius_pc,temperature_K,nH_internal_pc_minus3,nH_cm_minus3,nH_T_K_cm_minus3,muH_over_mu_ion,P_total_over_kB_K_cm_minus3,scalar_Pb_over_kB_K_cm_minus3,scalar_PHII_over_kB_K_cm_minus3
154,0.17330160076943843,implicit,99,0.8180175847769315,4600875.645458322,1.7089432591889293e+55,0.5816691192008642,2676187.2842464494,2.2999999999999994,6155230.753766832,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,98,0.8486647733549497,4527649.771959911,1.7365820716448583e+55,0.5910764787551118,2676187.2842464494,2.2999999999999994,6155230.753766832,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,97,0.8795458899111259,4456284.731119227,1.7643925141869933e+55,0.6005422556503303,2676187.2842464657,2.2999999999999994,6155230.753766869,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,96,0.910350892075722,4387307.853532057,1.7921321418880328e+55,0.6099839294596067,2676187.284246477,2.2999999999999994,6155230.753766895,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,95,0.9413629961736043,4319910.526268378,1.8200921923872438e+55,0.6195006280739342,2676187.28424646,2.2999999999999994,6155230.753766856,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,94,0.9722795460001938,4254591.881599371,1.848035167527475e+55,0.629011514787273,2676187.2842464545,2.2999999999999994,6155230.753766844,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,93,1.0030945884513316,4191194.165980985,1.8759893026412102e+55,0.6385261999953387,2676187.284246471,2.2999999999999994,6155230.753766881,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,92,1.0340809190386442,4129022.550342205,1.9042364929735986e+55,0.6481406317397475,2676187.28424646,2.2999999999999994,6155230.753766856,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,91,1.0650845390611519,4068272.6892401115,1.932671681883049e+55,0.6578190521310248,2676187.284246465,2.2999999999999994,6155230.753766868,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,90,1.095958776298834,4009107.64806829,1.961193390369788e+55,0.6675269209934814,2676187.284246444,2.2999999999999994,6155230.753766819,6155230.753766852,6155230.753766852
