snapshot_index,age_myr,phase,r_bubble_pc,r_shell_pc,r_if_pc,P_HII_code_Msun_per_pc_Myr2,P_HII_over_kB_K_cm3,Pb_over_kB_K_cm3,P_ram_over_kB_K_cm3,P_drive_over_kB_K_cm3
41,0.0012306185964165873,energy,0.21489162409404702,0.21804713587992378,0.21804713587992378,99255.07441117305,465175536.91993177,465175536.9199317,0.0,465175536.91993177
42,0.0012606185964165874,energy,0.21692438839380287,0.2201575873272222,0.2201575873272222,97767.174560488,458202244.96451724,458202244.9645172,0.0,458202244.96451724
43,0.0012906185964165874,energy,0.21893816455875162,0.22224953214753784,0.22224953214753784,96335.07208023232,451490456.73475283,451490456.73475283,0.0,451490456.73475283
44,0.0013206185964165875,energy,0.22093360027729902,0.22432363572603892,0.22432363572603892,94954.62502416548,445020760.3055782,445020760.3055781,0.0,445020760.3055782
45,0.0013506185964165876,energy,0.22291130680649462,0.22638052457699498,0.22638052457699498,93622.17460092518,438776008.1382248,438776008.1382247,0.0,438776008.1382248
46,0.0013806185964165877,energy,0.22487186147436938,0.22842078908170999,0.22842078908170999,92334.47629961363,432740994.2887358,432740994.2887358,0.0,432740994.2887358
47,0.0014106185964165878,energy,0.22681581001305098,0.23044498616913714,0.23044498616913714,91088.63685930663,426902159.00500953,426902159.0050095,0.0,426902159.00500953
48,0.0014406185964165878,energy,0.22874366872845722,0.23245364207106992,0.23245364207106992,89882.05193123223,421247296.5701543,421247296.5701543,0.0,421247296.5701543
49,0.001470618596416588,energy,0.23065592651134484,0.23443098240804108,0.23443098240804108,88712.37858693663,415765426.45740175,415765426.4574017,0.0,415765426.45740175
50,0.001500618596416588,energy,0.23255304006650998,0.23640987412376727,0.23640987412376727,87577.5131030545,410446689.21471083,410446689.2147108,0.0,410446689.21471083
51,0.001530618596416588,energy,0.23443544294094792,0.23837462637637513,0.23837462637637513,86475.54209784642,405282117.4579628,405282117.45796275,0.0,405282117.4579628
52,0.0015606185964165882,energy,0.23630355337540046,0.24032566235854746,0.24032566235854746,85404.72495168554,400263553.48162687,400263553.48162687,0.0,400263553.48162687
53,0.0015906185964165882,energy,0.23815776877901945,0.2422633840501009,0.2422633840501009,84363.45767597886,395383479.92440546,395383479.92440546,0.0,395383479.92440546
54,0.0016206185964165883,energy,0.23999846710013428,0.24417121080084192,0.24417121080084192,83350.27251577412,390635017.906785,390635017.90678495,0.0,390635017.906785
55,0.0016506185964165884,energy,0.24182600235376403,0.24608328902107984,0.24608328902107984,82363.82932732333,386011886.62054265,386011886.62054265,0.0,386011886.62054265
56,0.0016806185964165885,energy,0.24364071207083188,0.24798313233685393,0.24798313233685393,81402.88681008233,381508268.502692,381508268.5026919,0.0,381508268.502692
57,0.0017106185964165885,energy,0.24544292382080893,0.24987107039695466,0.24987107039695466,80466.29172531779,377118758.7066783,377118758.7066782,0.0,377118758.7066783
58,0.0017406185964165886,energy,0.24723295017883237,0.2517299194750876,0.2517299194750876,79552.97494161892,372838346.56900644,372838346.5690064,0.0,372838346.56900644
59,0.0017706185964165887,energy,0.24901108451092302,0.2535948377383176,0.2535948377383176,78661.9535746356,368662425.63748235,368662425.63748235,0.0,368662425.63748235
60,0.0018006185964165888,energy,0.25077760744443034,0.2554487412040127,0.2554487412040127,77792.30548559206,364586674.1542244,364586674.15422434,0.0,364586674.1542244
61,0.0018306185964165889,energy,0.25253279256497624,0.257274012629398,0.257274012629398,76943.16429792826,360607031.70031804,360607031.70031804,0.0,360607031.70031804
62,0.001860618596416589,energy,0.2542768969968129,0.2591065621652374,0.2591065621652374,76113.72670654528,356719733.4518194,356719733.45181936,0.0,356719733.4518194
63,0.001890618596416589,energy,0.25601016726633885,0.2609288751867553,0.2609288751867553,75303.2366355025,352921235.93214846,352921235.93214846,0.0,352921235.93214846
64,0.001920618596416589,energy,0.2577328444853255,0.2627229140542928,0.2627229140542928,74510.9769099579,349208177.9812417,349208177.98124164,0.0,349208177.9812417
65,0.0019506185964165892,energy,0.2594451555418638,0.26452533454504473,0.26452533454504473,73736.27897336062,345577426.29680353,345577426.2968035,0.0,345577426.29680353
66,0.0019806185964165893,energy,0.26114731844249256,0.26631820369135767,0.26631820369135767,72978.51174800767,342026023.2274386,342026023.2274385,0.0,342026023.2274386
67,0.0020106185964165893,energy,0.2628395470528342,0.26808307441111956,0.26808307441111956,72237.07485384584,338551154.9914308,338551154.9914308,0.0,338551154.9914308
68,0.0020406185964165894,energy,0.2645220428506778,0.26985734161150954,0.26985734161150954,71511.4041491108,335150177.64387673,335150177.6438767,0.0,335150177.64387673
69,0.0020706185964165895,energy,0.2661949998176555,0.27162266452624656,0.27162266452624656,70800.96410736896,331820581.35041535,331820581.35041535,0.0,331820581.35041535
70,0.0021006185964165896,energy,0.26785860879561585,0.2733601965687344,0.2733601965687344,70105.23864313385,328559947.38994145,328559947.3899414,0.0,328559947.38994145
71,0.0021306185964165896,energy,0.26951304975559576,0.27510806541481614,0.27510806541481614,69423.74360303339,325366006.6965544,325366006.69655436,0.0,325366006.6965544
72,0.0021606185964165897,energy,0.2711584962955718,0.2768475314540722,0.2768475314540722,68756.02224181617,322236618.6571036,322236618.6571036,0.0,322236618.6571036
73,0.00219061859641659,energy,0.2727951196610935,0.2785593564404836,0.2785593564404836,68101.63478549435,319169722.1971085,319169722.1971085,0.0,319169722.1971085
74,0.00222061859641659,energy,0.2744230814910845,0.2802823941018021,0.2802823941018021,67460.16447930456,316163364.1255414,316163364.1255413,0.0,316163364.1255414
75,0.00225061859641659,energy,0.2760425379717889,0.28197786073232645,0.28197786073232645,66831.2152260414,313215688.06648093,313215688.06648093,0.0,313215688.06648093
76,0.00228061859641659,energy,0.27765364013240895,0.28368509066503594,0.28368509066503594,66214.40732353248,310324914.48207515,310324914.4820751,0.0,310324914.48207515
77,0.00231061859641659,energy,0.27925653406313505,0.28538469722527876,0.28538469722527876,65609.37880604492,307489346.95926785,307489346.9592678,0.0,307489346.95926785
78,0.00234061859641659,energy,0.2808513644633073,0.28705680613571116,0.28705680613571116,65015.7780207146,304707337.41799,304707337.41798997,0.0,304707337.41799
79,0.0023706185964165903,energy,0.2824382680953205,0.2887414671000484,0.2887414671000484,64433.27227796835,301977326.6528132,301977326.6528132,0.0,301977326.6528132
80,0.0024006185964165904,energy,0.2840173774511633,0.2903986561277562,0.2903986561277562,63861.54399713085,299297826.2686902,299297826.26869017,0.0,299297826.2686902
81,0.0024306185964165904,energy,0.28558882097284954,0.292068896416537,0.292068896416537,63300.286893517194,296667400.8111257,296667400.8111257,0.0,296667400.8111257
