t_now,cool_beta,cool_delta,beta_plus_delta,Pb,bubble_dMdt,Lmech_total,Lmech_W,Lmech_SN,bubble_Lgain,bubble_Lloss,cooling_ratio,v_struct_min,v_struct_nneg,v_struct_npts,v_neg_frac_thick,R2,v2,Eb,bubble_Tavg,c_sound,no_physical_root,betadelta_converged
0.0029106185964165917,0.7286595623700075,-0.3875296879911965,0.341129874378811,9800288.158212924,2102.0441552097077,2028217415.3164413,2028217415.3164413,3.5158414497616785e-14,2028217415.3164413,484336548.87409145,0.761200872639916,-0.0004253524979541724,509,59993,9.06571446418098e-06,0.3428175694905907,60.008317363581575,2429985.7836322864,28054925.046282895,822.1129846442265,False,True
0.0034106185964165917,0.8166231180900486,-0.053045852812623175,0.7635772652774254,9800288.158212924,1477.0012288448038,2028221231.0389216,2028221231.0389216,3.8113687948815845e-14,2028221231.0389216,551086542.9439608,0.7282907137986736,0.0015212092136198346,0,59993,0.0,0.37198070055407834,56.930300835730456,2767659.607231978,26545415.52454766,814.148403048663,False,True
0.0038077827137787323,0.8166231180900486,-0.053045852812623175,0.7635772652774254,8724816.353927292,1489.0509666575335,2028223471.0245833,2028223471.0245833,3.983825111928754e-14,2028223471.0245833,564227574.0555853,0.7218119294465326,0.001624078125561661,0,59993,0.0,0.3940975717159285,54.59876415100178,3011303.700757641,26159233.52782356,791.9427419634218,False,True
0.004123261386018829,0.7956796583525154,-0.10723248615353037,0.6884471721989851,7976749.868079691,1612.1064509623386,2028224755.7082634,2028224755.7082634,4.081943855598103e-14,2028224755.7082634,566497542.3253161,0.7206929159448638,0.0016359674620373677,0,59993,0.0,0.41103108501582963,52.838464133015435,3204080.227339518,26049410.502254143,786.1610560312121,False,True
0.0043738550028324654,0.7956796583525154,-0.10723248615353037,0.6884471721989851,7477014.519029377,1612.7630130376958,2028225466.3303676,2028225466.3303676,4.135575583779521e-14,2028225466.3303676,575792212.2944405,0.7161103526935735,0.0027029897867873573,0,59993,0.0,0.4241009213240656,51.52080828980048,3360191.882025362,25837563.028812174,784.5090696657453,False,True
0.0046893336750725625,0.7956796583525154,-0.10723248615353037,0.6884471721989851,7135424.113230389,1614.2048354499964,2028225973.4601474,2028225973.4601474,4.172744014253783e-14,2028225973.4601474,587149605.2030916,0.710510755267858,0.0037617737671786036,0,59993,0.0,0.4401073771099618,50.018362081060914,3555409.793137917,25592693.696991533,781.3125377499807,False,True
0.0050864977924347035,0.7956796583525154,-0.10723248615353037,0.6884471721989851,6752448.562891396,1616.66503826188,2028226002.2235596,2028226002.2235596,4.171868696701581e-14,2028226002.2235596,601054391.7951545,0.7036551197271833,0.0028928556918770857,0,59993,0.0,0.45962071011275,48.33064606371382,3799365.7174207405,25313064.527471073,777.6013724240357,False,True
0.0054019764646748,0.7956796583525154,-0.10723248615353037,0.6884471721989851,6331583.262185073,1616.5143246866985,2028225544.5667596,2028225544.5667596,4.133677456704758e-14,2028225544.5667596,611976458.5942032,0.6982700172406492,0.0009356052801045619,0,59993,0.0,0.47466291233080915,47.07808318347616,3991597.0648122695,25103254.101506803,773.3416168799904,False,True
0.005799140582036941,0.7956796583525154,-0.10723248615353037,0.6884471721989851,6036862.643894348,1617.2930751731492,2028224368.6256258,2028224368.6256258,4.0388927088098505e-14,2028224368.6256258,625459501.6344703,0.6916221344592676,0.0009915424911817806,0,59993,0.0,0.4930659170849924,45.65766483737903,4231768.234253029,24860863.59289388,770.1299798140543,False,True
0.006299140582036941,0.7956796583525154,-0.10723248615353037,0.6884471721989851,5707156.773283394,1619.3258186992714,2028221946.4982371,2028221946.4982371,3.846409115189621e-14,2028221946.4982371,642205155.1431103,0.6833654441754319,0.0008388039578555201,0,59993,0.0,0.5154772070945456,44.07075558378829,4531645.915602502,24583862.777530808,766.4028733590043,False,True
0.006696304699399082,0.7956796583525154,-0.10723248615353037,0.6884471721989851,5345688.948715134,1618.8818478951182,2028219282.0487223,2028219282.0487223,3.636137353180738e-14,2028219282.0487223,655466010.9788908,0.6768268516228685,0.0026727191881743178,0,59993,0.0,0.5327382992464403,42.896945928123245,4767760.577131663,24376049.65636261,762.1212665395475,False,True
