segment,t,beta_nocage,delta_nocage,beta_cage,delta_cage,g_nocage,g_cage,f_cage,T0,conv_cage,cage_ok,Lmech_W,Lmech_SN,Lmech_total,R2,v2,R1_nocage,R1_cage,vmin_nocage,vmin_cage,c_sound
100,2.427645,2.8084077,-0.66683801,1,-1,8.8348662e-05,0.022218817,0.25720198,1871627.6,False,True,2.0632431e+08,-5.6585376,2.0632431e+08,20.958144,8.6590415,3.3037001,3.3037001,0.00030599555,0.003439378,331.65563
101,2.477645,2.8187939,-0.52591725,1,-1,2.2999957e-18,0.02170683,0.24483286,1840023.8,False,True,2.028666e+08,-16.377742,2.0286658e+08,21.390428,8.6350836,3.400768,3.400768,0.00088176246,0.0013976782,329.21878
102,2.527645,2.8187939,-0.52591725,1,-1,6.0386182e-05,0.019583609,0.21901145,1817106.9,False,True,2.0012337e+08,21.11795,2.001234e+08,21.821403,8.6065399,3.5015884,3.5015884,0.00074405587,-0.0035755374,327.28325
103,2.577645,2.5757262,-0.40058993,1,-1,7.5941297e-11,0.015906151,0.17852751,1801556.1,False,True,1.9832392e+08,61.122566,1.9832398e+08,22.25085,8.5738739,3.6075119,3.6075119,0.00074776825,0.00036557353,326.39645
104,2.627645,2.5757262,-0.40058993,1,-1,6.719603e-05,0.014046946,0.15472645,1783046,False,True,1.9667732e+08,-78.813262,1.9667724e+08,22.678575,8.5376231,3.7079398,3.7079398,0.00036198364,-0.00012026599,324.78806
105,2.677645,2.3502221,-0.34156465,1,-1,9.0457677e-15,0.011842455,0.13304142,1773931.4,False,True,1.949554e+08,-228.11252,1.9495518e+08,23.104478,8.5021219,3.8110269,3.8110269,0.00031716414,0.0021641602,324.29213
106,2.727645,2.3502221,-0.34156465,1,-1,1.6279699e-05,0.011136778,0.1227246,1759709.5,False,True,1.9387382e+08,294.1351,1.9387412e+08,23.529323,8.5109118,3.9118475,3.9118475,0.00050386141,0.00055253183,323.0754
107,2.777645,2.3502221,-0.34156465,1,-1,8.8575998e-05,0.010356013,0.10951717,1747176.9,False,True,1.9392335e+08,851.32752,1.939242e+08,23.957105,8.6096048,4.0238734,4.0238734,0.0002454079,0.0018418619,322.09627
108,2.827645,2.1475174,-0.25224227,1,-1,1.2146235e-14,0.0084873111,0.086814267,1740811.3,False,True,1.9511613e+08,-1097.7271,1.9511503e+08,24.390407,8.725466,4.1538846,4.1538846,0.00052532605,0.0024489524,322.015
109,2.877645,2.1475174,-0.25224227,1,-1,2.545971e-07,0.0087189217,0.087008764,1731260.6,False,True,1.9554928e+08,-3177.1976,1.955461e+08,24.829613,8.8455245,4.2726973,4.2726973,0.00062927503,0.00068606518,321.31145
110,2.927645,2.362259,-0.50739045,1,-1,5.1805602e-16,0.014930066,0.15685129,1725451.3,False,True,1.9076305e+08,4096.7734,1.9076715e+08,25.274942,8.9702769,4.3236655,4.3236655,0.00072740889,0.0021540958,320.25238
111,2.977645,2.5321482,-0.55850958,1,-1,1.687164e-15,0.019975221,0.20596764,1710499.5,False,True,1.8698763e+08,11857.463,1.8699949e+08,25.726622,9.0995035,4.3869966,4.3869966,0.00055543308,0.0013661863,318.74038
112,3.027645,1.6544187,0.31964883,1,-1,1.323702e-15,0.0028823829,0.0055428362,1694457.7,False,True,2.0613659e+08,-15289.367,2.061213e+08,26.184848,9.2320583,4.7494116,4.7494116,0.00025364582,-0.00069064508,319.88285
113,3.077645,-0.28692898,1.7546106,0.98,-0.98,1.5972558e-15,0.027698343,0.59403901,1703402.4,False,True,2.5203063e+08,-44252.653,2.5198638e+08,26.649767,9.3671494,5.3864509,5.3864509,0.001960186,0.00085367831,324.97904
114,3.127645,-1.8991361,2.3078646,0.96,-0.96,1.409683e-18,0.066986526,1.812956,1751959.2,False,True,3.0017158e+08,57060.693,3.0022864e+08,27.121617,9.5094279,5.9177902,5.9177902,0.00051142308,0.0011383733,331.67644
115,3.177645,-2.4447163,1.8156049,0.94,-0.94,3.4875785e-14,0.076111066,1.9987046,1816596.7,False,True,3.3380464e+08,165153.15,3.339698e+08,27.601031,9.6710083,6.1875485,6.1875485,-0.1077071,0.001022161,337.47608
116,3.227645,-2.0973922,0.99200011,0.92,-0.92,6.1325034e-16,0.059673858,1.3267781,1868494.4,False,True,3.5098445e+08,-212953.41,3.5077149e+08,28.089129,9.8573107,6.2538284,6.2538284,-0.61781555,0.0022069541,340.99409
117,3.277645,-1.2633849,0.29415146,0.9,-0.9,3.0535004e-15,0.033472637,0.59947272,1897208.1,False,True,3.5402282e+08,-616359.95,3.5340646e+08,28.587194,10.069582,6.2006531,6.2006531,-0.45155613,0.001574907,342.10418
118,3.327645,-0.38969404,-0.097316186,0.88,-0.88,9.422867e-15,0.01326389,0.19497976,1905721.4,False,True,3.4974091e+08,794752.93,3.5053566e+08,29.096482,10.305618,6.1253211,6.1253211,-0.012104318,0.0012065759,341.66921
119,3.377645,0.35922527,-0.29785743,0.86,-0.86,1.0540147e-16,0.0027606524,0.034295201,1902934.5,False,True,3.4444739e+08,2300286.6,3.4674768e+08,29.618084,10.561417,6.0814241,6.0814241,0.0010268662,-0.00024150927,340.56891
120,3.427645,1.0540247,-0.49798613,0.88,-0.88,1.7462689e-15,0.00021472728,0.00067051944,1894544,False,True,3.4308027e+08,-2966058.3,3.4011421e+08,30.152902,10.834014,6.085004,6.085004,0.0014620913,0.0023038125,339.07249
121,3.477645,1.5323094,-0.52216079,0.9,-0.9,2.8343015e-14,0.0028282965,0.022412216,1880781.8,False,True,3.4610175e+08,-8584786.6,3.3751696e+08,30.701688,11.120158,6.1452004,6.1452004,0.00011846544,0.0022074141,337.57301
122,3.527645,1.2972273,0.086796696,0.92,-0.92,1.6483269e-14,0.0011932569,0.0020310398,1866661.6,False,True,3.4760648e+08,11637881,3.5924436e+08,31.265017,11.41574,6.2519086,6.2519086,0.0012803586,0.0003382625,337.51204
123,3.577645,0.34649074,1.1199319,0.9,-0.9,9.7096004e-15,0.007816762,0.079632851,1868958.1,False,True,3.4462643e+08,64064256,4.0869069e+08,31.843288,11.717812,6.3661862,6.3661862,0.00088403285,0.00016647024,339.94377
124,3.627645,-0.59139908,1.735147,0.88,-0.88,4.076347e-14,0.022539621,0.28876339,1898210.3,False,True,3.3924801e+08,1.2363101e+08,4.6287901e+08,32.436857,12.027666,6.439206,6.439206,0.0024797638,0.0012431376,343.96897
125,3.677645,-0.94640091,1.5865668,0.86,-0.86,1.2647314e-15,0.026639896,0.34554328,1943607.8,False,True,3.3266035e+08,1.6951312e+08,5.0217347e+08,33.046278,12.352387,6.4466516,6.4466516,0.00064285765,0.0013622219,347.90046
126,3.727645,-0.5368392,0.8438616,0.84,-0.84,1.8292658e-17,0.0155175,0.17676992,1985532.1,False,True,3.2413386e+08,1.910555e+08,5.1518936e+08,33.67243,12.697261,6.379216,6.379216,0.00020866465,0.00021413281,350.25236
127,3.777645,0.43272191,-0.06083214,0.82,-0.82,9.587933e-15,0.0018523262,0.016421144,2008006,False,True,3.1276731e+08,1.897826e+08,5.0254991e+08,34.316341,13.062403,6.2574302,6.2574302,0.0019210203,0.0015326248,350.30964
128,3.827645,1.464821,-0.65643117,0.84,-0.84,9.1953813e-17,0.0027269075,0.01804263,2006389.5,False,True,2.976725e+08,1.8379799e+08,4.8147049e+08,34.978966,13.44547,6.1276203,6.1276203,0.0010069513,0.0014060613,348.58064
129,3.877645,2.2915169,-0.90252097,0.86,-0.86,1.4202896e-17,0.017187964,0.1023039,1989185,False,True,2.8002703e+08,1.8375303e+08,4.6378006e+08,35.661074,13.841738,6.0203467,6.0203467,0.0019367917,0.00065762248,346.10061
130,3.927645,2.893441,-0.96465698,0.88,-0.88,1.8448529e-15,0.036600071,0.19320435,1966035.8,False,True,2.6401815e+08,1.8737301e+08,4.5139117e+08,36.363153,14.244249,5.9617347,5.9617347,0.0020905853,0.0054690158,343.58275
131,3.977645,3.3023385,-0.93860813,0.9,-0.9,4.1268648e-17,0.05372455,0.25941298,1941892.3,False,True,2.5235888e+08,1.9191529e+08,4.4427417e+08,37.08537,14.64724,5.9653863,5.9653863,0.00099387171,0.0054175027,341.33997
132,4,3.4310876,-0.91845673,0.92,-0.92,3.8567467e-16,0.058989887,0.27779044,1931648.5,False,True,2.4861416e+08,1.9373719e+08,4.4235135e+08,37.414775,14.82372,5.9855985,5.9855985,0.00044877086,0.0042086189,340.4631
