t_now,cool_beta,cool_delta,beta_plus_delta,Pb,bubble_dMdt,Lmech_total,Lmech_W,Lmech_SN,bubble_Lgain,bubble_Lloss,cooling_ratio,v_struct_min,v_struct_nneg,v_struct_npts,v_neg_frac_thick,R2,v2,Eb,bubble_Tavg,c_sound,no_physical_root,betadelta_converged
0.002910195617362888,0.3134275570256963,-0.5858102973739363,-0.27238274034824,31548724.692739893,1839.8758428861827,2028217411.6155398,2028217411.6155398,3.515554141452247e-14,2028217411.6155398,951545346.4200622,0.5308464758410065,-1.3304561003314688,16809,59993,0.7197578293654266,0.23431677045287905,24.860660173335624,2521812.8014307045,32902041.064140826,900.3931206083879,False,True
0.0034101956173628882,0.6054368290725927,0.06881497749547077,0.6742518065680634,31548724.692739893,475.0440174345368,2028221228.2814138,2028221228.2814138,3.8111558645160815e-14,2028221228.2814138,1195751764.0141213,0.41044312753430473,0.0006858458153859898,0,59993,0.0,0.2463389764749721,23.342823483028347,2789577.928390194,30302637.523576602,881.6788826483153,False,True
0.003807359734725029,0.5295970482435867,-0.0038885198350540905,0.5257085284085325,30009919.41975602,705.362675253349,2028223469.0090487,2028223469.0090487,3.9836705426628104e-14,2028223469.0090487,1153397000.3799114,0.43132646968953614,0.0006035948972959612,0,59993,0.0,0.25540182477851814,22.350735206049276,2908044.510407248,30373706.889743634,846.1341711772037,False,True
0.004307359734725029,0.5295970482435867,-0.0038885198350540905,0.5257085284085325,28068448.610852882,709.8211018936013,2028225304.4044373,2028225304.4044373,4.123432235518809e-14,2028225304.4044373,1170558415.3457289,0.42286568814432157,0.0009649678426879255,0,59993,0.0,0.26627295382917443,21.208101088538086,3088336.4366929536,30073727.341671113,847.1258175642182,False,True
0.00470452385208717,0.49140148639963294,-0.0963353949153268,0.39506609148430616,26297344.129580352,875.7014548082799,2028225987.0272565,2028225987.0272565,4.173684671272547e-14,2028225987.0272565,1160314275.1390564,0.42791667074549544,0.0010233825824755957,0,59993,0.0,0.27452086999564124,20.366181797288217,3231282.677355888,30118867.389428005,842.9322072772399,False,True
0.005204523852087171,0.49140148639963294,-0.0963353949153268,0.39506609148430616,25102855.951757647,869.3485300405337,2028225880.6176348,2028225880.6176348,4.161448306633428e-14,2028225880.6176348,1186576855.9711463,0.41496809240506766,0.0017195895520927026,0,59993,0.0,0.2844564664672053,19.429122161143546,3423156.050408016,29898274.54327941,843.5645820457266,False,True
0.0058339865579842545,0.5718983767239332,-0.05082780976165487,0.5210705669622783,23895490.37445698,713.640865249377,2028224233.7353036,2028224233.7353036,4.0281104013225786e-14,2028224233.7353036,1243494188.5224419,0.3869049743911472,0.0006288405460503913,0,59993,0.0,0.2963477732473309,18.420320730243528,3662532.2754057664,29387325.119924225,840.4697397495984,False,True
0.006333986557984254,0.5718983767239332,-0.05082780976165487,0.5210705669622783,22602337.18138003,707.1731112624134,2028221738.8543363,2028221738.8543363,3.82998275629824e-14,2028221738.8543363,1258907493.522213,0.37930480213010587,0.0008932531997923016,0,59993,0.0,0.30536668010277374,17.691159790389573,3825158.7647860595,29164202.559636287,833.2571478733483,False,True
0.006963449263881338,0.5718983767239332,-0.05082780976165487,0.5210705669622783,21571631.766221948,698.530910348782,2028217124.4367208,2028217124.4367208,3.466454465963893e-14,2028217124.4367208,1278844759.678867,0.369473443315873,0.0014227812954938153,0,59993,0.0,0.31622857273966715,16.86818034892252,4027067.2596343695,28911528.860858355,830.0878783176147,False,True
0.0077558958601118945,0.5718983767239332,-0.05082780976165487,0.5210705669622783,20445141.40132919,687.1906664522189,2028209015.205823,2028209015.205823,2.8314081677463066e-14,2028209015.205823,1304533805.5360327,0.3568050453598598,0.0009298066027626991,0,59993,0.0,0.3292092110589394,15.95454930903263,4276682.398533743,28629486.17718119,826.484185679699,False,True
