t_now,cool_beta,cool_delta,beta_plus_delta,Pb,bubble_dMdt,Lmech_total,Lmech_W,Lmech_SN,bubble_Lgain,bubble_Lloss,cooling_ratio,v_struct_min,v_struct_nneg,R2,v2,Eb,bubble_Tavg,c_sound,betadelta_converged
0.0034101606231784296,0.3459307124717541,-0.09685144948313396,0.2491,12011.295202295709,6.407631606224024,683733.6581890283,683733.6581890283,1.2847728139136774e-17,683733.6581890283,105334.85826750036,0.84594,0.0005113061746128449,0,0.2586439816602752,28.178567286790006,1296.8002469702396,3100113.1733525353,270.63738797262465,True
0.0038073247405405702,0.40047574480503334,-0.09134746958018865,0.3091,11548.206465760053,6.20726417896956,683734.4135814152,683734.4135814152,1.3429308647655422e-17,683734.4135814152,113615.76089051028,0.83383,-0.00012961972401445766,1,0.26965331200879655,27.302748377126125,1413.5156356264167,3059539.543862335,268.86053242731975,True
0.004122803412780667,0.4363156780252753,-0.09093728117449185,0.3454,11179.236817911908,6.102005090219041,683734.8468745495,683734.8468745495,1.3760244293969884e-17,683734.8468745495,119224.1611673187,0.82563,-0.002556365318341646,1,0.27816488016785007,26.67909399167059,1502.4867089568609,3031613.788015269,267.63071587823316,True
0.004519967530142808,0.4765000938313818,-0.09115051936983075,0.3853,10731.29080665151,5.992023634860186,683735.1841803031,683735.1841803031,1.4013595182198808e-17,683735.1841803031,125585.79330183513,0.81632,0.00017112093728834657,0,0.2886158248245504,25.978168806286178,1611.512540954206,2999441.3061476923,266.2068355735078,True
0.005019967530142808,0.5198749714664791,-0.09139770827293789,0.4285,10198.451581183335,5.878239792509349,683735.2818803013,683735.2818803013,1.4076693394315772e-17,683735.2818803013,132672.82882518126,0.80596,-0.000675442581122674,1,0.3013991239935925,25.193620109442772,1744.6787200979627,2962735.047606966,264.5729419076621,True
0.005417131647504949,0.5463078127800637,-0.09126728082921633,0.455,9798.61252913363,5.811829844775354,683735.1023273148,683735.1023273148,1.3926057589898746e-17,683735.1023273148,137554.4328005179,0.79882,0.0020404659829792245,0,0.311284175925778,24.606153755435898,1847.0509330154396,2936438.002444864,263.3961586417285,True
0.00591713164750495,0.5748941672108605,-0.0906040364797124,0.4843,9332.604460399845,5.73924399847559,683734.555992814,683734.555992814,1.3487042525722992e-17,683734.555992814,143141.48540661734,0.79065,0.0013336239875809675,0,0.32341055995860735,23.928786976396278,1973.3493244096032,2905964.470263655,262.0258684205275,True
0.0065465943534020335,0.6043666979230229,-0.08917804106278535,0.5152,8800.855205930351,5.663086460807473,683733.36655187,683733.36655187,1.2544942772600952e-17,683733.36655187,149433.47452266593,0.78144,0.0026935988836628818,0,0.338216473902003,23.153565610745172,2128.8708481440917,2871215.573414842,260.4545324372908,True
0.007046594353402033,0.6043666979230229,-0.08917804106278535,0.5152,8416.38890879115,5.724448657572728,683732.028343347,683732.028343347,1.1492220651340998e-17,683732.028343347,152979.19199710424,0.77626,-0.001423126260443531,1,0.3496399952381785,22.56286588613201,2249.563103237582,2853214.54055084,259.6367912850006,True
0.007676057059299117,0.6403628833538906,-0.08581303655665005,0.5545,7990.483322358278,5.562168581247983,683729.855264764,683729.855264764,9.790430482393578e-18,683729.855264764,159387.13289087068,0.76689,-0.0006377498326549842,1,0.36361757597181993,21.87872776202593,2402.6887138424654,2817492.3250204376,258.0063469997553,True
0.008176057059299116,0.6403628833538906,-0.08581303655665005,0.5545,7673.732939284558,5.597462778391983,683727.7462679651,683727.7462679651,8.144528324338742e-18,683727.7462679651,162573.07460502832,0.76223,0.0007750984313680568,0,0.374422635696534,21.358902603319002,2519.627253966047,2800195.366810648,257.21316020338026,True
0.0088055197651962,0.6403628833538906,-0.08581303655665005,0.5545,7317.593802727633,5.636328394400485,683724.6160971252,683724.6160971252,5.708889727036599e-18,683724.6160971252,166583.46808411746,0.75636,0.001033233247457078,0,0.3876688007928021,20.752296349253744,2667.209987534624,2779918.253915749,256.2801866436188,True
0.009597966361426756,0.7546518508292371,-0.11809035466822095,0.6366,6909.445000325572,5.497878890722737,683719.934392493,683719.934392493,2.077997360580119e-18,683719.934392493,172997.21495208633,0.74698,0.003110474590964857,0,0.40412363011632557,20.7747758830574,2853.4047714172953,2744446.301433425,254.6398605697174,True
0.010227429067323839,0.804955413311288,-0.12720620199636734,0.6777,6580.060608948944,5.453279304145312,683715.6370590143,683715.6370590143,-1.2447567092130412e-18,683715.6370590143,176239.19617858162,0.74223,0.0009644990589182896,0,0.4171718057583726,20.686123242833744,2989.4523637095017,2720415.626565427,253.52258207010195,True
0.011019875663554396,0.8509038909467276,-0.13202261275097027,0.7189,6190.253526605505,5.40639454878309,683709.5124661758,683709.5124661758,-5.96668051531218e-18,683709.5124661758,179692.5671699795,0.73718,-0.0006746142368707505,1,0.4334876171415208,20.499823418185187,3155.705293146467,2691088.5658332407,252.1523467611037,True
0.012017506821038835,0.8881913302378982,-0.1349735754721265,0.7532,5744.641822130791,5.38534799053774,683700.6933493374,683700.6933493374,-1.2742033456498145e-17,683700.6933493374,183264.24036756167,0.73195,0.0018021851414913841,0,0.45377498122400023,20.186982751186353,3359.5829357709063,2656545.825209399,250.5288096359526,True
0.012809953417269392,0.8881913302378982,-0.1349735754721265,0.7532,5426.2954854165755,5.474816326462678,683692.827579296,683692.827579296,-1.8764168628348068e-17,683692.827579296,185009.26488724223,0.7294,-0.0012414469946753861,1,0.46964418747781755,19.876216049781057,3518.3611985838584,2635239.568055813,249.52213076356043,True
0.01380758457475383,0.8881913302378982,-0.1349735754721265,0.7532,5075.3286718779955,5.563270911552243,683681.8692897633,683681.8692897633,-2.7124951296014207e-17,683681.8692897633,187722.2925825852,0.72542,0.004540316993581908,0,0.48926134821466927,19.470030934716977,3720.9492187939063,2608430.680275246,248.24966369840166,True
0.014600031170984388,0.9207330500737086,-0.14987504076095695,0.7709,4829.700969407204,5.515696696669844,683672.3462863853,683672.3462863853,-3.436557829394212e-17,683672.3462863853,191084.85277876424,0.7205,-5.0506844836362917e-05,1,0.504550071472087,19.12812836278521,3883.54710351881,2580074.539217116,246.8966205646482,True
0.015597662328468827,0.9207330500737086,-0.14987504076095695,0.7709,4544.721645300556,5.556454822896707,683659.3545032261,683659.3545032261,-4.42089118829542e-17,683659.3545032261,193734.42736081095,0.71662,0.0019108142858739212,0,0.5234162526416416,18.711281395659743,4080.1313133340923,2553193.9331011325,245.6071020631361,True
0.016853605544223618,0.9207330500737086,-0.14987504076095695,0.7709,4232.554658326423,5.594081333563219,683641.4566189003,683641.4566189003,-5.770837498722541e-17,683641.4566189003,197145.74541057262,0.71162,0.0004891935384188908,0,0.5465871994084318,18.21142802207872,4327.548214999887,2521720.06113953,244.08857708617413,True
0.01785123670170806,0.9207330500737086,-0.14987504076095695,0.7709,4014.917893287502,5.605874454184342,683626.0550849895,683626.0550849895,-6.927184527538675e-17,683626.0550849895,199939.20720946547,0.70753,0.00470447321390914,0,0.5645511492876166,17.81644635815794,4523.498090829117,2497882.689568586,242.93217481141372,True
0.01910717991746285,0.9207330500737086,-0.14987504076095695,0.7709,3772.25711558391,5.615138995014345,683605.2289329366,683605.2289329366,-8.483419708053002e-17,683605.2289329366,203319.53100226933,0.70258,0.0021001114596210166,0,0.586623199220356,17.352093805164248,4768.685616976785,2470233.464373568,241.58391745747295,True
0.020688318747547042,0.9207330500737086,-0.14987504076095695,0.7709,3507.388017592091,5.620006940522618,683576.8280105522,683576.8280105522,-1.0592628145660021e-16,683576.8280105522,207315.35164659712,0.69672,0.0002780878658083622,0,0.6136127381577614,16.81487015358333,5074.8566966716235,2438744.190057591,240.03918461702935,True
0.021944261963301834,0.8933436565508273,-0.09453834187897091,0.7988,3323.0640304910703,5.450669891178703,683552.6152080306,683552.6152080306,-1.237937806580308e-16,683552.6152080306,211572.90242143994,0.69048,0.005014809633976795,0,0.634464048532471,16.40511200965022,5315.496518695973,2414642.2581217894,238.85009447405653,True
0.023525400793386025,0.8933436565508273,-0.09453834187897091,0.7988,3123.936177534684,5.445444826262423,683520.1611032832,683520.1611032832,-1.4758308971910888e-16,683520.1611032832,215604.68995883304,0.68457,0.0008283283452664575,0,0.6600130831127643,15.933491067531076,5625.7365459864495,2389253.674703637,237.591090178806,True
