t_now,current_phase,R2,v2,Eb,Pb,cool_beta,cool_delta,beta_plus_delta,Lgain,Lloss,ratio_F0,cum_Lloss,cum_Lgain,frac_cum,t_cool,t_dyn,F2_tcool_tdyn,R2_over_rCloud,F_ram,F_rad,F_HII,pdot_total
0.003410161310209879,implicit,0.25883573819239614,28.255460553322024,1307.0328257895076,12079.362446733798,0.3485019688936587,-0.09712953664022576,0.2513724322534329,689595.2175396252,106196.82302329522,0.8460012187987759,42.1775674827105,273.8824759112786,0.153998781201224,0.01230764526263463,0.009160556335789917,1.3435477946409398,0.06818638633567517,10169.56455558213,249.97049512774268,10169.564555582132,368.83434290156976
0.0038073254275720197,implicit,0.2698755325925035,27.37935304572634,1424.614316479425,11610.326193500741,0.4030194850611208,-0.0917013803688965,0.3113181046922243,689595.9794074829,114517.18278367586,0.8339358316994949,78.30529625598096,491.43529987686003,0.15933999099291826,0.012440179559521092,0.009856899545499983,1.2620783545674326,0.071094654302414,10626.2813464473,265.98085221594175,10626.2813464473,368.8343660827313
0.004122804099812116,implicit,0.27841111310925704,26.754790400993553,1514.2538254183942,11237.090736708455,0.43879557901699495,-0.0913089847861113,0.3474865942308837,689596.4164148594,120151.61993312066,0.8257653069634895,126.02520833635026,765.3182519383631,0.16467032899994136,0.012602858174207431,0.010406028562979066,1.211111241712703,0.07334322474627598,10945.532253204668,278.2949889082021,10945.532253204668,368.83437553440257
0.004519968217174257,implicit,0.2888918070696393,26.052396217491182,1624.1091723750121,10784.369339914594,0.47887574750346923,-0.09152030755639268,0.38735543994707655,689596.7566118881,126542.08608847827,0.816498432054405,189.29625138058947,1110.1166302443075,0.1705192465578417,0.012834537682897327,0.011088876610731175,1.1574245194934176,0.07610420610240308,11310.32457196005,293.0846902492487,11310.32457196005,368.83437671378067
0.005019968217174257,implicit,0.30171163743184815,25.265692072294513,1758.305980878282,10246.35715837125,0.5220994984364609,-0.09174997754268516,0.4303495208937757,689596.8551489529,133662.5848759099,0.8061728619005394,242.38223392717248,1383.9997565552496,0.17513170271825587,0.013154810544107491,0.011941554443414385,1.1015995117253936,0.07948139779911396,11720.96793206713,311.1227547218046,11720.967932067131,368.83436218350766
0.005417132334536398,implicit,0.3116248925032185,24.67621554279929,1861.4875976632356,9842.989154966643,0.5483924750486517,-0.09160158107482681,0.45679089397382494,689596.6740562869,138567.23568756206,0.7990604640354577,311.66585177095357,1728.7980935833934,0.1802789191680234,0.013433822132819849,0.01262855286552046,1.063765759693496,0.0820928959054462,12011.608096934719,324.91969391688724,12011.60809693472,368.83433874660926
0.005917132334536399,implicit,0.3237856493900783,23.996372831847914,1988.8018033642843,9373.171037407514,0.576806347808964,-0.0908990782262169,0.4859072695827471,689596.1230376394,144181.3774749328,0.7909191008211873,402.4226517762936,2162.8731351668043,0.1860592954959691,0.01379374949937661,0.013493107965065077,1.022281118263481,0.08529646459736034,12348.425860742618,341.6783875023531,12348.42586074262,368.8342953888845
0.006546595040433483,implicit,0.3386331091211102,23.218195497265278,2145.599292793702,8837.438453555216,0.6060800405020876,-0.08943112089246459,0.516648919609623,689594.9233991621,150506.46925763693,0.7817465527214759,477.675886405112,2507.670596866385,0.19048589834806112,0.014255860916655122,0.014584815997479031,0.9774453732648551,0.08920780478706396,12734.887196099193,361.89527084514725,12734.887196099195,368.83422079423224
0.007046595040433482,implicit,0.35008832016587027,22.62511850909215,2267.302995052727,8450.33069491005,0.6060800405020876,-0.08943112089246459,0.516648919609623,689593.5737178731,154076.44501183974,0.7765691983161148,574.6612623972678,2941.7440337480775,0.19534713279084706,0.014715442031898517,0.015473435864001484,0.9510132178292464,0.0922255080273874,13014.839377887485,377.673695181331,13014.839377887489,368.8341472949495
0.007676057746330566,implicit,0.3641042086279391,21.938350422136956,2421.6974228834665,8021.560398529873,0.6417231890246191,-0.08597139947887625,0.5557517895457429,689591.382009176,160513.10298684938,0.767234470768497,654.9178138906924,3286.5397247526653,0.19927275150766038,0.015087225764253483,0.01659669946107428,0.9090497661682011,0.09591778326026879,13363.496976199602,397.4760367821457,13363.496976199604,368.8340390692856
0.008176057746330566,implicit,0.37493856094253275,21.416539582543813,2539.6500894362225,7702.931181905805,0.6417231890246191,-0.08597139947887625,0.5557517895457429,689589.2549317562,163721.742009059,0.7625807814751097,757.9745446298988,3720.6104431195618,0.2037231675333287,0.015511990394627608,0.017506962761067973,0.8860469178082225,0.09877193059625441,13607.742993986629,412.31695980784315,13607.74299398663,368.8339422834371
0.008805520452227648,implicit,0.388220272730164,20.80771980880086,2688.501424780372,7344.714282716557,0.6417231890246191,-0.08597139947887625,0.5557517895457429,689586.0979257917,167759.4380089169,0.7567244488925733,890.9149402656161,4267.070599228767,0.20878842277103188,0.016025932470264178,0.018657511553282345,0.8589533724525442,0.10227079801493115,13910.450355936078,422.52525954559644,13910.45035593608,368.8338090566864
0.009597967048458205,implicit,0.4047175437019354,20.826634490984922,2876.2810098833534,6934.308922793704,0.7553225672510654,-0.11796097470515086,0.6373615925459145,689581.3760848009,174200.1383981062,0.7473827680974319,1000.5674307493343,4701.13635815534,0.21283522844717975,0.016511358925043323,0.0194326905711589,0.8496692140793266,0.10661675618833213,14273.060634513307,421.2751654250442,14273.060634513307,368.8336271761024
0.010227429754355288,implicit,0.41779751310741514,20.73538085565002,3013.5802626875434,6603.490866993881,0.8053778524877685,-0.12702093781149423,0.6783569146762742,689577.0419102852,177464.92090406083,0.742646709332952,1141.1989032700824,5247.589337855881,0.2174710766784899,0.01698127295994859,0.02014901563737484,0.8427842464149795,0.11006247760752004,14484.888172392968,420.55955475571415,14484.888172392974,368.8334747458175
0.011019876350585845,implicit,0.43415118801798985,20.546256812006863,3181.3905789692676,6212.1387082367355,0.8510818933212304,-0.13175361950613332,0.7193282738150971,689570.8648114221,180945.02825240864,0.737597631387904,1255.0970503724677,5681.648480327871,0.2209036786978486,0.017582083407848035,0.021130427405359777,0.8320741966340114,0.11437060755606532,14714.076034237245,419.75029262931827,14714.076034237247,368.8332772988979
0.011649339056482928,implicit,0.44701600631847627,20.33612989040274,3311.252907376283,5923.011871346424,0.8510818933212304,-0.13175361950613332,0.7193282738150971,689565.3959006239,182149.75806470565,0.7358484646306759,1399.4410061550632,6228.092231187697,0.224698182719139,0.01817873898136069,0.021981370532523848,0.8270066215599821,0.11775965064919178,14873.001287244933,419.1991176938963,14873.001287244933,368.8331193425871
0.012441785652713484,implicit,0.4630106759108396,20.043213273154763,3477.9452356481156,5598.015777857135,0.8975876266501542,-0.1365075607896852,0.7610800658604691,689557.8169629498,186240.15795382953,0.729913644117479,1585.2399905046268,6916.016594276887,0.22921286681359873,0.018674518287888946,0.023100621123010315,0.8083989685146358,0.12197320604054848,15080.85596331119,418.530689649075,15080.855963311193,368.83292354829456
0.013439416810197924,implicit,0.4828023092069583,19.652437693257962,3678.517810088677,5221.728287842684,0.8975876266501542,-0.1365075607896852,0.7610800658604691,689547.1997613775,188552.08775379413,0.7265566623734475,1734.6574506572863,7462.445925668102,0.2324515940129891,0.01950929238657903,0.02456704439127113,0.7941245220980201,0.12718701447197941,15295.469448106775,417.79130986358604,15295.46944810678,368.8326896486856
0.01423186340642848,implicit,0.4982368368513084,19.313830376093964,3840.038286842191,4959.634848598421,0.8975876266501542,-0.1365075607896852,0.7610800658604691,689537.9319702621,190828.82697889922,0.723251153952283,1925.0342341976434,8150.350450869021,0.2361903633226457,0.02012294655705661,0.025796894098646005,0.7800530746107454,0.13125300888301406,15471.457701181456,417.2223715830134,15471.457701181458,368.83252041873055
0.01522949456391292,implicit,0.5172876438155424,18.896097542314383,4044.2440680345553,4666.903845958611,0.8975876266501542,-0.1365075607896852,0.7610800658604691,689525.2419206954,193805.8821553027,0.7189285172281004,2168.4434170639684,9016.355000551,0.24050111346896302,0.020867499082374476,0.02737536904946487,0.7622727951052917,0.13627165774789401,15692.889856775346,416.5301635287395,15692.88985677535,368.83233713981497
0.01648543777966771,implicit,0.540687170823,18.391388177026187,4301.902318730743,4346.799792199714,0.9255068800151918,-0.15630430087429556,0.7692025791408962,689507.6933037792,198076.44590285255,0.7127277217839755,2366.0506510604355,9704.229358716077,0.24381643957490687,0.0217183941236538,0.02939893202289132,0.7387477241262672,0.14243591157058905,15968.776097098023,443.1484927830331,15968.776097098025,368.8321690284451
0.017483068937152152,implicit,0.5588292593528892,17.99398172185663,4499.1771605825525,4117.334901700271,0.9255068800151918,-0.15630430087429556,0.7692025791408962,689492.5452474582,200829.55430701695,0.708728461690707,2618.281167315392,10570.192843233126,0.24770420049541245,0.022402963428900823,0.031056453651617293,0.721362576687315,0.1472151722170286,16157.878259579464,445.5898727765733,16157.878259579462,368.83209832881687
0.018739012152906943,implicit,0.581120655817678,17.524467184253048,4746.228814696998,3862.232552969237,0.9255068800151918,-0.15630430087429556,0.7692025791408962,689472.0085159336,204205.01395884785,0.7038240690896319,2822.002451755284,11258.031601142,0.25066570709119557,0.023242469529438075,0.03316053205542565,0.7009076178449072,0.15308750569742294,16390.073806832967,447.6713652933945,16390.073806832967,368.8321062213355
0.019736643310391384,implicit,0.5984160834247543,17.160836711211346,4941.003321301086,3681.886063387721,0.9255068800151918,-0.15630430087429556,0.7692025791408962,689454.5713787635,206827.74803973455,0.7000125075302311,3081.7663587356296,12123.947392636286,0.2541883644766885,0.023889460520315913,0.034871031843907885,0.6850804021874536,0.1576437262444488,16568.63473862436,449.96306428262557,16568.634738624365,368.8322025521361
0.020992586526146176,implicit,0.6196910416576653,16.73509746659046,5184.206292903346,3478.5122931188953,0.9023199231492234,-0.10784115345688078,0.7944787696923425,689431.2591977459,211055.91958202436,0.6938695239499022,3415.475068505895,13214.033927227681,0.2584733085532848,0.024563188292326323,0.0370294253077881,0.6633424118294416,0.16324829434418442,16786.25601543494,452.9337880712276,16786.256015434945,368.83245499846913
0.022573725356230367,implicit,0.645744820767512,16.243780591751523,5496.410996245573,3259.096064820495,0.9023199231492234,-0.10784115345688078,0.7944787696923425,689399.8508349153,215121.16252685574,0.6879587915977531,3685.6550331467834,14079.880992826158,0.2617674847553514,0.02555030352050743,0.03975335773098392,0.6427206399371247,0.17011177100430408,17077.680689183395,455.49770462712144,17077.680689183402,368.83301151660686
0.02382966857198516,implicit,0.6659045973581955,15.872407186619748,5741.767700964618,3104.4445155207454,0.9023199231492234,-0.10784115345688078,0.7944787696923425,689373.3469605054,218196.19483316396,0.683486175096258,4030.6535093741145,15169.875960130516,0.26570115141135514,0.02631470134185822,0.04195359843839851,0.6272334751093339,0.17542256125549988,17298.872302142412,457.2903983147616,17298.872302142416,368.83366930972784
0.02541080740206935,implicit,0.6906488357123004,15.444781185639082,6047.606221581977,2930.5904733552047,0.9023199231492234,-0.10784115345688078,0.7944787696923425,689338.1326551014,221809.86349408745,0.6782277767809687,4472.173995156558,16542.028227860286,0.27035221640019136,0.027264820988193706,0.044717294949732395,0.6097153465754723,0.18194105907878305,17566.270478009057,460.66295278206803,17566.27047800906,368.83480451677923
0.027401343254836837,implicit,0.7208855108222142,14.959476304760692,6428.259297733531,2739.0658206542325,0.8632668727447006,-0.11525729761016368,0.7480095751345369,689291.062464354,223751.23526529802,0.6753893276008216,4825.955761513823,17631.89309195266,0.27370604712414165,0.02872949188464436,0.04818922107539287,0.5961808728905698,0.18990645684398022,17887.305563386235,463.5426090829797,17887.305563386242,368.8367818474617
0.028982482084921025,implicit,0.7442407244691998,14.596142083764077,6741.254353357668,2610.2289094490347,0.8632668727447006,-0.11525729761016368,0.7480095751345369,689251.6601095066,227536.726048304,0.669878595559489,5278.875772534306,19003.873232980142,0.2777789405252986,0.02962710446983649,0.050988865427464634,0.5810504748724641,0.19605903697764732,18168.343019615655,465.8124441482473,18168.34301961565,368.8388400624549
0.030973017937688512,implicit,0.7728662204476574,14.18333242086538,7131.626222049627,2465.5814621269105,0.8632668727447006,-0.11525729761016368,0.7480095751345369,689199.7407944242,232027.12957777854,0.6633383388822428,5860.320948532123,20730.963790507096,0.2826844428340384,0.03073617397684098,0.05449115888383739,0.5640579977820518,0.20359999380790766,18507.078719398996,469.37647377774687,18507.078719399,368.8421158423753
0.033478954105824875,implicit,0.8078001424543944,13.720996508965936,7618.096120786563,2306.4244759009243,0.8632668727447006,-0.11525729761016368,0.7480095751345369,689131.0902590011,237363.37183234096,0.6555613653374266,6332.801250298179,22102.703932924385,0.28651703744105184,0.03209465749487045,0.05887328532782151,0.5451480636108412,0.21280281069404078,18912.84890666598,473.27276927786266,18912.848906665982,368.8474475513334
0.035469489958592365,implicit,0.8347586886787088,13.378641701468677,8000.307777978689,2194.8265809415952,0.8632668727447006,-0.11525729761016368,0.7480095751345369,689074.2700963505,241470.9803730094,0.6495719099492054,6937.912113570248,23829.480068890993,0.291148279085937,0.03313154966124836,0.062394875900374173,0.5309979254410164,0.21990463465674603,19219.05242820459,475.81518266364117,19219.052428204588,368.85274602412784
0.037975426126728724,implicit,0.8677769483201985,12.990642314847975,8476.9230762927,2069.940117012753,0.8632668727447006,-0.11525729761016368,0.7480095751345369,689000.2943889091,246437.1345650791,0.6423265177504023,7428.454065375325,25200.959857439473,0.29476869561309194,0.03439791284399192,0.06680015716608188,0.5149376034920115,0.2286027990747243,19587.71896037596,478.722099391932,19587.718960375958,368.86089640825213
0.039965961979496215,implicit,0.8933381328975138,12.701726292041362,8851.615253034088,1981.048708856754,0.8632668727447006,-0.11525729761016368,0.7480095751345369,688939.9152048493,250309.11660383485,0.636674968194566,8055.712733887136,26927.399308624103,0.2991641577249205,0.035362736176499605,0.07033202514033553,0.5027970701247307,0.23533650910626094,19867.204543448093,481.870757345506,19867.204543448097,368.8686500947106
0.042471898147632574,implicit,0.9247369435019778,12.370926933836763,9319.219330187527,1880.2590022304012,0.8632668727447006,-0.11525729761016368,0.7480095751345369,688862.3035844404,255068.45298171855,0.6297250529539937,8860.399302657217,29100.61295753484,0.3044746622893058,0.03653615028141273,0.07475082089222045,0.4887725625661345,0.24360805400693172,20205.237375779074,484.61030640682054,20205.237375779077,368.88016366541484
