t_now,cool_beta,cool_delta,beta_plus_delta,Pb,bubble_dMdt,Lmech_total,Lmech_W,Lmech_SN,bubble_Lgain,bubble_Lloss,cooling_ratio,v_struct_min,v_struct_nneg,R2,v2,Eb,bubble_Tavg,c_sound,betadelta_converged
0.0034101956173628882,0.5908014739700078,-0.0022639887644158798,0.5885,2556506.5738638234,223.97291468089003,202822122.8281413,202822122.8281413,3.8111558645160845e-15,202822122.8281413,69319996.96045491,0.65822,0.002032092111100331,0,0.2708234345848041,32.09322261615386,315917.77361204283,15358636.96171324,602.3866748293,True
0.003807359734725029,0.6075419143719551,-0.057727555927302325,0.5498,2393697.073835729,242.85222739655654,202822346.90090483,202822346.90090483,3.983670542662811e-15,202822346.90090483,70178929.78271827,0.65399,0.0020776766982070296,0,0.28335322257306916,31.055004585286767,338906.06828394026,15274527.029638218,600.734957273965,True
0.004122838406965125,0.6075419143719551,-0.057727555927302325,0.5498,2279976.0688033155,246.53551451389774,202822475.4277437,202822475.4277437,4.0818351902897874e-15,202822475.4277437,71321307.59718771,0.64836,0.0022918473062419824,0,0.29302388623686926,30.28178707808066,357091.02986247325,15180557.90637851,598.8842411643232,True
0.004520002524327266,0.6470557855939073,-0.09068274507054538,0.5564,2155199.9289671346,249.10425381168076,202822575.4797704,202822575.4797704,4.156984230650645e-15,202822575.4797704,72962736.8175759,0.64026,0.0027739285244963016,0,0.30486852696689976,29.403035842570723,380279.0364179045,15034031.085830139,595.9869370812124,True
0.004835481196567362,0.6470557855939073,-0.09068274507054538,0.5564,2062801.501234607,251.5800593061331,202822606.27901083,202822606.27901083,4.1785733615353684e-15,202822606.27901083,73995654.72197434,0.63517,0.0026492585497467766,0,0.3140379900270825,28.74917310092528,397897.1613407914,14944066.81388268,594.2010559737266,True
0.005232645313929503,0.6815526257030187,-0.09031369950763193,0.5912,1959663.4140116991,244.43481958371282,202822584.28826,202822584.28826,4.158282311785918e-15,202822584.28826,75866762.58757067,0.62595,-5.804852031539915e-05,1,0.3253009454969795,27.997334059135785,420255.014462196,14777144.953925746,590.8731910308255,True
0.005732645313929504,0.6815526257030187,-0.09031369950763193,0.5912,1841070.1085239544,247.540456654667,202822461.18704182,202822461.18704182,4.058367761656694e-15,202822461.18704182,77366015.3706221,0.61855,0.002162734892952966,0,0.3390770328792261,27.146429237093447,447253.43394490937,14647020.071510643,588.2658768956419,True
0.006129809431291645,0.714921274009074,-0.09861630035389116,0.6163,1758758.9702412712,242.51278435710947,202822288.36601567,202822288.36601567,3.920662711315012e-15,202822288.36601567,79025435.41584027,0.61037,0.0018216716564265615,0,0.3497276739420686,26.509204333855806,468889.6977629087,14501907.954652177,585.344566190637,True
0.006629809431291645,0.714921274009074,-0.09861630035389116,0.6163,1662759.3293930383,244.56527419003,202821977.35400474,202821977.35400474,3.674853678496176e-15,202821977.35400474,80462755.49191771,0.60328,0.0007305673823462273,0,0.36279258991651625,25.78046087406556,494958.4477755717,14379325.828173442,582.8654077725412,True
0.007259272137188729,0.7491874443882371,-0.10941597539177089,0.6398,1558243.6973775544,240.57915532191925,202821439.48943436,202821439.48943436,3.252301962792773e-15,202821439.48943436,82686470.74942692,0.59232,0.0019262671214127563,0,0.3787480035566918,24.95472045550493,527907.3201605415,14195403.939079553,579.1257778747643,True
